"","review","score"
"1","The game doesn't advance the wider narrative very far, the new mechanics don't really add a great deal and the mission designs rarely explore new gameplay possibilities...That said, there's a lot to like; the game is undeniably solid, while the multiplayer offers a unique experience.",0
"2","As it is, it reminds me of avant-garde art or haute cuisine; interesting and bold but made for a small group of devoted connoisseurs. Those of a certain palate are sure to love its humor, weirdness and replayability but the broader gaming audience is likely to find it more of an acquired taste.",0
"3","As it is, VVVVVV is still a spike-lined, death-packed good time. Its steeper price and wimpy 3D just make it feel like more of a straightforward PC port and less like something truly special for the eShop.",0
"4","Taken out of the context of its fiction, People Can Fly would have something fun but forgettable on their hands, but the way Bulletstorm fits together results in something cool and memorable.",0
"5","A great surprise. Sure, the gameplay formula is typical Fallout -- fetch quests, exploration, killing, and moral decision making -- but it's wrapped in a genuinely humorous package.",0
"6","The story is good enough to recommend this game despite its relatively weak gameplay.",0
"7","A clever twist on tower defense that will rope back in gamers that think they've had enough of the well-worn formula.",0
"8","There is a huge world to explore, thousands of zombies to kill, and tons of side quests to take. Here on the other side of a 25-hour playthrough -- where I skipped a lot of side quests after Act 1 -- I'm anxious to get back into Dead Island, and despite the game's flaws, that's not something I say often.",0
"9","It manages to straddle pure tank simulation and shooter action to produce something that, despite being flawed, remains genuinely fun.",0
"10","It looks great, it's got a lot of personality, it tells an entertaining story and it's great fun to play. A few frustrating difficulty spikes and the story's rather premature ending are the only negatives.",0
"11","Weird cut-scenes and clunky use of the touch screen aside, this is a beautiful and fun game that fighter fans should make it a point to check out.",0
"12","Stunlock's game largely succeeds, and though it's not the prettiest piece of software on the planet, it's definitely one of the most entertaining.",0
"13","Pets puts the series and franchise back on track and continues to make its virtual worlds even more fleshed out. As always, this expansion isn't going to make any non-Sims player a convert, but if you're still enjoying your digital families, this is a good expansion to pick up.",0
"14","Mighty Switch Force is a great first effort from WayForward for Nintendo's 3DS, but it has its issues. The game lacks length, and its Par times will unnecessarily encourage players to rush through their first playthroughs – making the game seem even shorter and stealing away some of their sense of the success.",0
"15","The innovative mix of various RPG sub-genres results in an intriguing and incredibly fun overall package. However, given the original came out so recently, it's rather confusing why this barely enhanced version even exists.",0
"16","I just wish they'd taken this project all the way, instead of stopping with ""good enough.""",0
"17","Might and Magic Heroes VI may have some issues with battlefield tactics in the late game and its story, but the strategy remains a blast nonetheless.",0
"18","It may be the closest thing to X-COM: UFO Defense we’ve seen in 20 years, but its frustrations make it tougher to recommend than it should be.",0
"19","Most importantly, though, the various types of gameplay that the developers have thrown together may not be all that amazing on their own, but the elements work together to create a well-paced, easy-to-understand game that is good fun for anyone.",0
"20","In Red Orchestra 2 carelessness is swiftly punished and careful positioning and teamwork ultimately rewarded. It's a game for the patient, and despite its slower pace, no less exhilarating than any other shooter on the market.",0
"21","Who's That Flying?! is enjoyable, funny, and cute. The story mode kind of fell flat for me as each city's three levels felt similar and dragged a bit, but that's just a portion of the game.",0
"22","It's beautiful, well-written and cleverly-designed and if its only flaws were a flaky scroll button and blurry cutscenes, it would warrant an unmitigated thumbs up.",0
"23","With addictive gameplay, gorgeous and creative use of 3D, and some amazing new control options, portable gaming enthusiasts have no reason to pass this title up.",0
"24","Though it has a few issues with regards to Blendo's reliance on randomization, such problems shouldn't turn you away if you're looking for an offbeat gaming experience.",0
"25","The writing is really good in general (despite one tasteless bit of dialogue where Hector calls some gangsters ""homos"" instead of ""homies""), and the puzzles are fun, but don't expect anything out of the ordinary gameplay wise.",0
"26","Axis' presentation just plain doesn't quite stack up to other versions on the market - most notable Tetris DS - and the uninspired use of Miis comes off as more lazy than fun.",0
"27","It may not be the best or most original action game, but it's a fine first outing for the franchise, and a rare gem for Warhammer fans.",0
